Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Year_Extracted,g_q1,g_q3,g_iqr,Is_Outlier
877014,375,Nitrogen dioxide (NO2),Mean,ppb,NA,206,Borough Park,Summer 2023,2023-06-01,11.74380759,2023,15.75,24.1425,8.392499999999998,0
878253,386,Ozone (O3),Mean,ppb,CD,502,South Beach and Willowbrook (CD2),Summer 2023,2023-06-01,35.2123549,2023,28.98,33,4.02,0
878193,386,Ozone (O3),Mean,ppb,NA,209,Bensonhurst - Bay Ridge,Summer 2023,2023-06-01,37.30085065,2023,28.98,33,4.02,0
877134,375,Nitrogen dioxide (NO2),Mean,ppb,CD,203,Morrisania and Crotona (CD3),Summer 2023,2023-06-01,13.76011232,2023,15.75,24.1425,8.392499999999998,0
874593,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,202,Hunts Point and Longwood (CD2),Summer 2023,2023-06-01,9.7259613130000009,2023,7.35,10.2425,2.8925,0
877179,375,Nitrogen dioxide (NO2),Mean,ppb,CD,306,Park Slope and Carroll Gardens (CD6),Summer 2023,2023-06-01,13.840004800000001,2023,15.75,24.1425,8.392499999999998,0
878237,386,Ozone (O3),Mean,ppb,UHF42,204,East New York,Summer 2023,2023-06-01,36.31450852,2023,28.98,33,4.02,0
877149,375,Nitrogen dioxide (NO2),Mean,ppb,CD,208,Riverdale and Fieldston (CD8),Summer 2023,2023-06-01,12.9706097,2023,15.75,24.1425,8.392499999999998,0
877188,375,Nitrogen dioxide (NO2),Mean,ppb,CD,309,South Crown Heights and Lefferts Gardens (CD9),Summer 2023,2023-06-01,11.38800028,2023,15.75,24.1425,8.392499999999998,0
874455,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,403,Flushing - Clearview,Summer 2023,2023-06-01,8.899225982,2023,7.35,10.2425,2.8925,0
874529,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,101,Financial District (CD1),Summer 2023,2023-06-01,9.239338959,2023,7.35,10.2425,2.8925,0
878157,386,Ozone (O3),Mean,ppb,CD,202,Hunts Point and Longwood (CD2),Summer 2023,2023-06-01,33.48798478,2023,28.98,33,4.02,0
878114,386,Ozone (O3),Mean,ppb,CD,302,Fort Greene and Brooklyn Heights (CD2),Summer 2023,2023-06-01,33.40842626,2023,28.98,33,4.02,0
874819,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,318,Flatlands and Canarsie (CD18),Summer 2023,2023-06-01,8.452351572,2023,7.35,10.2425,2.8925,0
878150,386,Ozone (O3),Mean,ppb,CD,209,Parkchester and Soundview (CD9),Summer 2023,2023-06-01,33.96231918,2023,28.98,33,4.02,0
878202,386,Ozone (O3),Mean,ppb,NA,104,Pelham - Throgs Neck,Summer 2023,2023-06-01,34.91689947,2023,28.98,33,4.02,0
874846,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,409,Kew Gardens and Woodhaven (CD9),Summer 2023,2023-06-01,8.788488643,2023,7.35,10.2425,2.8925,0
874329,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204,East New York,Summer 2023,2023-06-01,8.878918851,2023,7.35,10.2425,2.8925,0
878141,386,Ozone (O3),Mean,ppb,CD,411,Bayside and Little Neck (CD11),Summer 2023,2023-06-01,37.09750646,2023,28.98,33,4.02,0
878188,386,Ozone (O3),Mean,ppb,NA,303,East Harlem,Summer 2023,2023-06-01,32.00898429,2023,28.98,33,4.02,0
874532,365,Fine particles (PM 2.5),Mean,mcg/m3,Citywide,1,New York City,Summer 2023,2023-06-01,8.809497546,2023,7.35,10.2425,2.8925,0
