Year_Extracted,Geo Place Name,Name,Data Value
2022,Stapleton - St. George,Ozone (O3),34.75588887
2022,Ridgewood - Forest Hills,Nitrogen dioxide (NO2),10.64357212
2022,Willowbrook,Nitrogen dioxide (NO2),8.26877671
2022,East Flatbush - Flatbush,Nitrogen dioxide (NO2),10.18747995
2022,Upper East Side,Fine particles (PM 2.5),7.097573293
2022,High Bridge - Morrisania,Fine particles (PM 2.5),7.075342639
2022,Southeast Queens,Fine particles (PM 2.5),6.112324219
2022,Bayside - Little Neck,Ozone (O3),33.40020401
2022,Greenwich Village - SoHo,Nitrogen dioxide (NO2),16.59352898
2022,Willowbrook,Fine particles (PM 2.5),5.932229923
2022,Bensonhurst - Bay Ridge,Ozone (O3),35.81921707
2022,Borough Park,Ozone (O3),35.18590991
2022,Union Square - Lower East Side,Ozone (O3),31.19828422
2022,Lower Manhattan,Ozone (O3),30.28985712
2022,Jamaica,Ozone (O3),34.40762152
2022,Kingsbridge - Riverdale,Ozone (O3),29.95390541
2022,Greenpoint,Ozone (O3),32.404022
2022,Pelham - Throgs Neck,Ozone (O3),33.2891319
2022,East New York,Ozone (O3),34.366186
2022,Long Island City - Astoria,Fine particles (PM 2.5),7.223992797
2022,Stapleton - St. George,Fine particles (PM 2.5),5.924476631
2022,Northeast Bronx,Nitrogen dioxide (NO2),11.61930339
2022,Upper West Side,Fine particles (PM 2.5),7.014746696
2022,Fresh Meadows,Fine particles (PM 2.5),6.28872517
2022,Hunts Point - Mott Haven,Fine particles (PM 2.5),7.222672542
2022,Pelham - Throgs Neck,Fine particles (PM 2.5),7.005098509
2022,East Flatbush - Flatbush,Fine particles (PM 2.5),6.173406281
2022,Southwest Queens,Fine particles (PM 2.5),6.186049843
2022,Chelsea - Clinton,Fine particles (PM 2.5),8.340367159
2022,Lower Manhattan,Nitrogen dioxide (NO2),16.71264314
2022,Rockaways,Ozone (O3),37.50032276
2022,South Beach - Tottenville,Ozone (O3),36.0357734
2022,Union Square - Lower East Side,Nitrogen dioxide (NO2),13.86713279
2022,Bayside - Little Neck,Nitrogen dioxide (NO2),10.73235998
2022,Washington Heights,Nitrogen dioxide (NO2),13.48842373
2022,Pelham - Throgs Neck,Nitrogen dioxide (NO2),11.9642793
2022,Hunts Point - Mott Haven,Ozone (O3),32.90099328
2022,High Bridge - Morrisania,Nitrogen dioxide (NO2),13.57753358
2022,East Harlem,Fine particles (PM 2.5),7.035453199
2022,Greenwich Village - SoHo,Ozone (O3),30.29067016
2022,Canarsie - Flatlands,Ozone (O3),36.11507607
2022,Bensonhurst - Bay Ridge,Fine particles (PM 2.5),6.036921521
2022,East New York,Nitrogen dioxide (NO2),10.9473018
2022,High Bridge - Morrisania,Ozone (O3),31.51181153
2022,Flushing - Clearview,Nitrogen dioxide (NO2),11.04857139
2022,Borough Park,Nitrogen dioxide (NO2),10.13740916
2022,Fordham - Bronx Pk,Ozone (O3),31.666184
2022,Crotona -Tremont,Ozone (O3),31.38884935
2022,Ridgewood - Forest Hills,Ozone (O3),34.18062626
2022,East Harlem,Ozone (O3),31.62649667
2022,Upper East Side,Ozone (O3),30.75813335
2022,Bedford Stuyvesant - Crown Heights,Ozone (O3),33.71192434
2022,Stapleton - St. George,Nitrogen dioxide (NO2),8.706739022
2022,Coney Island - Sheepshead Bay,Ozone (O3),37.07216274
2022,Bedford Stuyvesant - Crown Heights,Fine particles (PM 2.5),6.499405841
2022,Bedford Stuyvesant - Crown Heights,Nitrogen dioxide (NO2),11.43810998
2022,Sunset Park,Ozone (O3),33.65593185
2022,Southeast Queens,Ozone (O3),34.67389389
2022,Port Richmond,Nitrogen dioxide (NO2),9.403636349
2022,Downtown - Heights - Slope,Ozone (O3),32.29772352
2022,Chelsea - Clinton,Ozone (O3),28.824582
2022,Upper West Side,Ozone (O3),29.86938464
2022,Williamsburg - Bushwick,Ozone (O3),33.17297803
